CODI	NOM	LAT	LNG	RCLIM
1	El Cortalet	42.2192242822	3.09380024243	3
2	La Rubina	42.2587127399	3.12531679124	3
3	Vilaüt	42.2867071026	3.10792484756	3
4	Cal Tet	41.309493521	2.11900924806	3
5	Darnius	42.3711260699	2.82486820572	2
6	Fitor	41.9122466571	3.08015514917	2
7	El Remolar	41.2821603719	2.06017096149	3
8	Can Ferriol	41.4114888411	2.06169859645	2
9	Can Jordà	42.1427874107	2.50743211082	2
10	Can Liro	41.6905434079	2.38515204874	2
11	Santa Susanna	41.7386187272	2.39210518171	2
12	El Puig	41.8007189212	2.42531376329	1
13	Can Riera	41.6851490536	2.53376377123	2
14	La Marquesa	40.7794674595	0.717803252566	3
15	Font Llebrera	42.337629034	1.85898160996	1
16	Olvan	42.0586824207	1.91573028061	2
17	La Barroca	42.0493479472	2.6279109715	2
18	Timoneda d´Alfés	41.5486645567	0.649087510673	2
19	Can Prat	41.7569925218	2.49684187734	2
20	Turó de l´Home	41.7810487887	2.43403931749	1
21	Turó d´en Fumet	41.4375689651	2.08608506513	2
22	Closes de l´Ullal	42.2881611373	3.08850195239	3
23	Closes del Tec	42.2735356291	3.11532555192	3
24	Coll d'Estenalles	41.6656378614	1.98821399767	2
25	El Mascar	40.8094006208	0.327270206193	1
26	Vallgrassa	41.2873731554	1.87699112295	2
27	Bosc de Valldemaria	41.7331626355	2.75046069721	2
28	Pla de la Calma	41.7777058158	2.32806521539	1
29	Marata	41.6582414796	2.32978387788	2
30	L'Arbeca	41.546811775	0.979888628213	2
31	Turó de Can Tiril	41.6144649681	2.62061915158	2
32	Can Vinyals	41.6754363781	2.71043806806	2
33	Ca l'Arenes	41.6189245823	2.46208330114	2
34	Can Miravitges	41.4763885469	2.24164735125	2
35	Martorell	41.4873419492	1.89333733295	3
36	Olesa de Bonesvalls	41.3276914958	1.84420686328	2
37	Vilanova i la Geltrú	41.2216454089	1.74834977425	3
38	Punta de la Móra	41.130886033	1.33313121649	3
39	Prades	41.3295510633	1.01327906875	1
40	Sallent	41.8351318774	1.92511778463	2
41	Mas de Melons	41.4916309167	0.732679642422	2
42	Gironella	42.0168616593	1.88700769137	2
43	Torà	41.7925643564	1.40911625226	2
44	Tivissa	41.035986043	0.727451906708	2
45	Olivella	41.2846653228	1.83592142291	2
46	Torredembarra	41.1502691036	1.42461400888	3
47	Granja d'Escarp	41.4035074127	0.384686304506	2
48	Sebes	41.2389482914	0.523138857821	3
49	Sant Boi	41.3542506691	2.01308576685	3
50	Talaia del Montmell	41.3405863558	1.46613800788	2
51	El Pinetell	41.31422192	1.12212444354	2
52	Desembocadura del Gaià	41.1356278769	1.36430750992	3
53	Vallforners	41.7360063052	2.33182846943	2
54	Rabós	42.3904089858	3.02214489558	2
55	Campllong	42.1106911227	1.77782182991	1
56	Grèixer	42.2861853048	1.84549245041	1
57	Seu d'Urgell	42.3650994504	1.45907961734	1
58	Cal Puntarrí	41.3531420943	1.52678278304	2
59	Mig-de-dos-Rius	42.1939352539	3.09737277419	3
60	Barranc d'Algendar	39.9763107517	3.96621892633	3
61	S'Albufera des Grau	39.9498653975	4.26188868091	3
62	Can Jordà (bis)	42.1430112601	2.50963495219	2
63	Sant Jaume de Llierca	42.2060791168	2.60278771274	2
64	Montjoi	42.2556480855	3.22209641319	2
65	Santiga	41.5405383996	2.149099417	3
66	Mont-rebei	42.0936043562	0.695521036232	2
67	La Tancada	40.6496800976	0.76055058629	3
68	La Conreria	41.488223551	2.24930297031	2
69	Sant Mateu	41.5101797729	2.32879643981	2
70	Sales de Llierca	42.2429558949	2.65868267678	2
71	Godomar	42.1748086901	2.53583233825	2
72	La Nou de Berguedà	42.1795065179	1.88770068914	1
73	Aiguabarreig	41.4044170817	0.338296739514	3
74	Sal Rossa	38.8744314	1.4003785512	3
75	Can Vilar	41.5820679416	2.11016634832	2
76	Campus UAB	41.5068958147	2.09687491525	3
77	Sant Daniel	41.9969552925	2.84694418619	2
78	Sant Ramon	41.3377993279	2.01379536221	2
79	Oristrell	41.7085274891	1.9058398481	2
80	Vall d'Horta	41.6777974872	2.02957806434	2
81	Alinyà	42.162672563	1.40792565781	1
82	Estrets d'Arnes	40.8945700379	0.295652646131	2
83	Cal Carro	41.6699808868	2.34696006259	2
84	Vilert	42.1779583316	2.82043669573	2
85	Gerri de la Sal	42.309128765	1.06548561821	2
86	Sant Maurici	42.5834718989	1.0373394078	1
87	Tremp	42.1660820082	0.86235540482	2
88	Olzinelles	41.668905929	2.50726432094	2
89	Pineda	41.6492672254	2.68160758965	2
90	Estoll	42.391179943	1.8841585598	1
91	Sorteny	42.6224233598	1.56286868715	1
92	Enclar	42.4986612117	1.48995167156	1
93	Comapedrosa	42.5832589127	1.47313682827	1
94	Margalef	41.2953080157	0.784113259629	2
95	Torre Negra	41.4670697055	2.10028928866	3
96	Fontaneda	42.4566752839	1.48411521379	1
97	Pessons	42.5258028678	1.68838994807	1
98	Rec del Solà	42.5069938763	1.51455392011	1
99	Sadernes	42.268729953	2.59666266877	2
100	Banyoles	42.1302998693	2.74959098585	2
101	Santa Catalina	39.9676905675	4.20705033461	3
102	Les Alberes-1	42.4596733419	3.03044866155	2
103	Les Alberes-2	42.438565055	3.0087434123	2
104	La Roca	41.6101226249	2.3329163649	2
105	Viladrau	41.8433262637	2.38304963889	2
106	Argentona	41.5754824362	2.37590765755	2
107	Mura	41.7138520817	1.99545224132	2
108	Can Ponet	41.6810199449	2.55176141245	2
109	Tramvia de sang	42.1162683154	1.8519861726	2
110	Folgueroles	41.9367801164	2.32367879071	2
111	Deveses de Salt	41.9839871116	2.79073295241	2
112	El Brull	41.8111325037	2.29477662485	2
113	Sils	41.8008345578	2.73252885856	2
114	Vacarisses	41.5845037322	1.9255964966	2
115	Sant Feliu de Pallerols	42.0918881656	2.52070197395	2
116	Llobera	41.9006943066	1.44064976061	2
117	Planes de Son	42.6184433934	1.07780520858	1
118	Meandre de Castellbell	41.6405560129	1.86432755261	2
119	Can Tiril nou	41.6150927817	2.61944067603	2
120	Viladecans	41.3238618816	2.00412656238	3
121	El Remolar nou	41.2793936652	2.06130447459	3
122	Puiggraciós	41.7077197001	2.2493772732	2
123	Moià	41.8199907627	2.08252793489	2
124	Freginals	40.6678460824	0.528912705831	3
125	Turó del Carmel	41.4182854989	2.15312833317	3
126	Vall del Riu	42.5801529823	1.611254008	1
127	Gironella Nou	42.0158630062	1.88758894315	2
128	Dosrius	41.5992349821	2.3983070626	2
129	L'Escanyat	41.6055352606	2.27199548664	2
130	Rabós_nou	42.3903139999	3.02167193741	2
131	Sebes_nou	41.248066205	0.504707180917	3
132	Banyoles_nou	42.1311779945	2.74992709791	2
133	Betren	42.6997098714	0.806519055002	1
134	Puigventós	41.575843267	1.89636635297	2
135	Collbató	41.5672849462	1.83611852013	2
136	Els Quatre Vents	41.6254289141	1.74566902806	2
137	Casau	42.7068633862	0.784324084492	1
138	Besalú	42.1990091336	2.70205932458	2
139	Menàrguens	41.7397901613	0.748723435908	2
140	Madriu	42.5006541321	1.55524365519	1
141	Cadira d'en Galzeran	42.0210950019	2.01995695719	2
142	Montgrí	42.0692205692	3.1105787324	2
143	Els Arcs	42.0871173341	2.28673184877	2
144	Montjuïc	41.3641842264	2.16421167227	3
145	La Vall	40.04471364	3.92525848067	3
146	Talis	39.9105887778	4.04823252589	3
147	Turó de Montcada	41.4785143679	2.17403942554	3
148	Besòs-Montcada	41.4771469419	2.19356505152	3
149	Sant Quintí de Mediona	41.4496314844	1.64612967456	2
150	Torrelavit	41.4296117707	1.75586965668	2
151	Castelltallat	41.8107100854	1.6535941767	2
152	Conca d'Òdena	41.6199791791	1.63996046574	2
153	Setcases	42.3637843007	2.27133765506	1
154	Tregurà	42.3578796832	2.26487750566	1
155	Raixa	39.680743515	2.67099830292	3
156	La Manresana	41.6963562215	1.55386130059	2
157	Conca del Bitlles	41.4396074783	1.74821392017	2
158	Sant Miquel del Fai	41.7202949128	2.19270041251	2
159	Sincrotró Alba	41.4833389608	2.10259909402	3
160	Els Foquers	41.9496478343	2.3288717942	2
161	Roques Blanques	41.4564165804	2.00852420718	3
162	Alòs de Balaguer	41.9089336826	0.936987709603	2
163	El Croscat	42.1547916295	2.53988160539	2
164	Montsagre	40.942587242	0.373992143988	2
165	Els Plaus	42.3459955122	2.1406344568	1
166	Ribera del Catllar	42.3599684782	2.28445468504	1
167	Toirigo	42.5666630938	0.845783478297	1
168	Pla de les Forques	42.3639306111	1.46182122141	1
169	Binifaldó	39.8403678045	2.90984702655	2
170	Es Burotell	39.5884755731	2.54554174578	3
171	Es Comú de Muro	39.7771216969	3.13768485835	3
172	Reserva des Galatzò	39.6132868145	2.48888901004	2
173	Ses Puntes	39.7838207365	3.11544981377	3
174	Sant Antoni de Vilamajor	41.6592700576	2.41501785885	2
175	Can Pere de l'Om	41.6417570489	2.31117784039	2
176	Can Moragues	41.8373514793	2.70089577005	2
177	Can Gimferrer Nou	41.8238753427	2.77215143132	2
178	Can Jornet Xic	41.5609131175	2.20129190745	3
179	Carena dels Bandolers	41.5483280096	2.19413506747	3
180	Es Tudons	40.0030191444	3.90309816154	3
181	Capçaleres del Catllar	42.369325117	2.26701959503	1
182	Turmadèn	39.9491975772	4.09799693666	3
183	Sa Ràpita des Trenc	39.3621812229	2.96025120624	3
184	Sentmenat	41.6130690011	2.12699661177	2
185	Jardí d'en Perelló	39.4468836222	3.17859853013	2
186	Son Boter	39.9174653082	4.05752485839	3
187	Horts Squella	39.881208312	4.12238460756	3
188	S'Albufereta	39.8707986352	3.08675916773	3
189	Trencapinyes	42.2951046833	1.8912557097	1
190	Dolmen del Cuspinar	41.813469893	2.14991242383	2
191	Pla de Munt	41.6808803856	2.75482055605	3
192	La Rierada	41.43385965	2.03673556376	3
193	Les Bordes de Burg	42.5038326939	1.29780811504	1
194	El Fornet	42.7341248066	1.10833069616	1
195	Closa del Ter Vell	42.0455339126	3.18392011573	3
196	Sant Pere Molanta	41.3266691987	1.737336224	2
197	Alàs	42.3508519591	1.5161032692	2
198	Lo Grau de l'Inquisidor	41.0529505988	0.396823307516	2
199	Les Bordes d'Envalira	42.5604590741	1.68174952777	1
200	L'Arboretum	41.6255702363	0.601880587231	2
201	Parc de la Mitjana	41.6278695365	0.649001943617	3
202	Puig d'Inca	39.7241105455	2.95676722258	2
203	Ariant	39.8987439216	2.95105732507	2
204	Can Toni d'en Jaume Negre	39.048622259	1.48104173738	3
205	Àger	41.9884183743	0.739178319672	1
206	Es Comú d'Abaix	39.7674501155	3.13584338349	3
207	Serrat	42.6169371911	1.53679905011	1
208	Baió	42.1778641422	2.72411589155	2
209	El Sallent	42.155699068	2.61482002006	2
210	Torroella de Fluvià	42.1778613017	3.05386864266	3
211	Aransa	42.4087541739	1.65776352827	1
212	Arnes	40.9014131334	0.260625045729	2
213	Begues	41.340957717	1.92207033544	2
214	Sant Quirze de Colera	42.4148512016	3.05737240908	2
215	Florejacs	41.80482194	1.20703405879	2
216	Les Salenques	41.237804768	0.830124619706	2
217	Puigsagordi	41.8072734355	2.1894677698	2
218	Siurana	41.2347354404	0.865394835791	2
219	La Tossa de Montbui	41.5535444469	1.57703431761	2
220	Vall del Bac	42.2641012363	2.46076767604	2
221	Castellterçol	41.7577835248	2.12884650697	2
222	Pla de la Mola	38.6638163237	1.57140020207	3
223	Les Llobateres	41.7282630443	2.59540529293	2
224	Trespui	42.3196865082	1.06101812952	2
225	Alqueria Vella del Parc Natural de Llevant	39.7393023881	3.33621140703	2
226	Martorell Nou	41.4873814124	1.89332384372	3
227	Pui Pla	42.5845121765	1.00574073712	1
228	Pletiu de Riumalo	42.6011417892	0.85841261967	1
229	Senyús	42.2312526027	1.20359479504	1
230	Sant Muç	41.5044431377	2.02216563274	2
231	Tamarigar de Miravet	41.0315421701	0.601562036342	3
232	Font de l'Arç	42.2575991505	2.37663550233	1
233	Hortus	41.6915485988	2.31926064403	2
234	Font de l'Alzina	41.462430034	2.19518166232	3
235	Torrent de la Teuleria	41.7426944893	2.13305648341	2
236	Parc del Mussol	40.7044684099	0.553642039066	3
237	Torre Salvana	41.36600493	2.02837363652	3
238	Esparreguera	41.552538575	1.85549800334	2
239	Riera de Sant Cugat	41.4808813182	2.11292733666	3
240	Ermites de Sant Joan	41.2794684637	0.889289855889	2
241	Vall de Biert	42.087427207	2.69718402342	2
242	Campelles	42.2874221292	2.12059296437	1
243	Celrà	42.0199933522	2.88975577311	2
244	Riberes de Vic	41.925635395	2.25422152977	2
245	Maians	41.6391626722	1.68212406572	2
246	Céllecs	41.5616061017	2.34066743524	2
247	Ruta de les Fonts	41.818442194	3.02865347858	2
248	Barranc de Sant Joan	41.2768199837	0.894792808285	2
249	Serra de la Canya	42.3441658303	2.22022962939	1
250	Muntanya d'Alinyà	42.1803813855	1.42170331626	1
251	Pantà de Vallvidrera	41.4148400902	2.09422454148	2
252	Covil	42.5249832	1.3524253	1
